Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Time
E1,2017-08-04,Nott'm Forest,Millwall,1,0,H,1.0,0.0,H,P Bankes,11.0,23.0,2.0,6.0,13.0,15.0,5.0,4.0,0.0,1.0,0.0,0.0,
E1,2017-08-04,Sunderland,Derby,1,1,D,1.0,1.0,D,O Langford,20.0,11.0,4.0,4.0,12.0,11.0,6.0,7.0,1.0,0.0,0.0,0.0,
E1,2017-08-05,Aston Villa,Hull,1,1,D,1.0,0.0,H,A Madley,12.0,14.0,5.0,5.0,13.0,11.0,5.0,3.0,2.0,0.0,0.0,0.0,
E1,2017-08-05,Bristol City,Barnsley,3,1,H,3.0,0.0,H,A Davies,20.0,10.0,11.0,5.0,14.0,9.0,3.0,2.0,1.0,2.0,0.0,0.0,
E1,2017-08-05,Burton,Cardiff,0,1,A,0.0,0.0,D,G Eltringham,3.0,16.0,0.0,6.0,13.0,15.0,4.0,6.0,1.0,0.0,0.0,0.0,
E1,2017-08-05,Fulham,Norwich,1,1,D,1.0,0.0,H,J Linington,16.0,19.0,3.0,5.0,12.0,10.0,7.0,1.0,3.0,2.0,0.0,0.0,
E1,2017-08-05,Ipswich,Birmingham,1,0,H,0.0,0.0,D,T Robinson,12.0,12.0,2.0,3.0,11.0,14.0,8.0,2.0,1.0,1.0,0.0,0.0,
E1,2017-08-05,Preston,Sheffield Weds,1,0,H,0.0,0.0,D,T Harrington,11.0,6.0,3.0,1.0,17.0,18.0,6.0,3.0,2.0,3.0,0.0,0.0,
E1,2017-08-05,QPR,Reading,2,0,H,1.0,0.0,H,S Duncan,11.0,4.0,4.0,2.0,17.0,12.0,10.0,1.0,1.0,2.0,0.0,1.0,
E1,2017-08-05,Sheffield United,Brentford,1,0,H,1.0,0.0,H,S Martin,9.0,12.0,2.0,5.0,6.0,9.0,6.0,3.0,0.0,0.0,0.0,0.0,
E1,2017-08-05,Wolves,Middlesbrough,1,0,H,1.0,0.0,H,D Bond,10.0,5.0,2.0,2.0,14.0,13.0,4.0,4.0,1.0,2.0,0.0,0.0,
E1,2017-08-06,Bolton,Leeds,2,3,A,1.0,3.0,A,S Hooper,10.0,11.0,4.0,5.0,9.0,14.0,6.0,8.0,1.0,0.0,0.0,0.0,
E1,2017-08-12,Barnsley,Ipswich,1,2,A,1.0,0.0,H,G Eltringham,25.0,9.0,10.0,2.0,11.0,14.0,11.0,7.0,1.0,2.0,0.0,0.0,
E1,2017-08-12,Birmingham,Bristol City,2,1,H,1.0,1.0,D,D Bond,18.0,25.0,8.0,3.0,15.0,15.0,2.0,10.0,0.0,2.0,1.0,0.0,
E1,2017-08-12,Brentford,Nott'm Forest,3,4,A,1.0,2.0,A,J Linington,20.0,13.0,9.0,6.0,11.0,13.0,12.0,3.0,1.0,3.0,0.0,0.0,
E1,2017-08-12,Cardiff,Aston Villa,3,0,H,1.0,0.0,H,T Robinson,15.0,10.0,12.0,1.0,9.0,9.0,4.0,7.0,0.0,1.0,0.0,0.0,
E1,2017-08-12,Derby,Wolves,0,2,A,0.0,1.0,A,L Probert,13.0,12.0,3.0,3.0,6.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,
E1,2017-08-12,Hull,Burton,4,1,H,1.0,1.0,D,D England,27.0,6.0,11.0,2.0,13.0,6.0,5.0,2.0,2.0,1.0,0.0,1.0,
E1,2017-08-12,Leeds,Preston,0,0,D,0.0,0.0,D,S Duncan,12.0,9.0,4.0,1.0,14.0,14.0,6.0,4.0,1.0,1.0,0.0,1.0,
E1,2017-08-12,Middlesbrough,Sheffield United,1,0,H,1.0,0.0,H,P Bankes,15.0,7.0,2.0,3.0,19.0,11.0,4.0,3.0,1.0,1.0,0.0,0.0,
E1,2017-08-12,Millwall,Bolton,1,1,D,0.0,0.0,D,A Davies,14.0,5.0,8.0,2.0,14.0,16.0,4.0,0.0,2.0,3.0,0.0,0.0,
E1,2017-08-12,Reading,Fulham,1,1,D,0.0,0.0,D,S Hooper,23.0,6.0,6.0,3.0,18.0,7.0,9.0,3.0,3.0,1.0,0.0,1.0,
E1,2017-08-12,Sheffield Weds,QPR,1,1,D,0.0,1.0,A,C Kavanagh,14.0,10.0,4.0,4.0,10.0,16.0,4.0,1.0,0.0,3.0,0.0,0.0,
E1,2017-08-13,Norwich,Sunderland,1,3,A,0.0,1.0,A,A Madley,14.0,9.0,3.0,5.0,16.0,18.0,13.0,1.0,0.0,1.0,0.0,0.0,
E1,2017-08-15,Barnsley,Nott'm Forest,2,1,H,1.0,1.0,D,T Harrington,13.0,26.0,5.0,7.0,13.0,9.0,2.0,9.0,2.0,1.0,0.0,0.0,
E1,2017-08-15,Birmingham,Bolton,0,0,D,0.0,0.0,D,D England,10.0,12.0,0.0,2.0,13.0,8.0,7.0,4.0,1.0,1.0,0.0,0.0,
E1,2017-08-15,Brentford,Bristol City,2,2,D,0.0,1.0,A,P Bankes,24.0,8.0,10.0,5.0,16.0,13.0,5.0,3.0,2.0,3.0,0.0,0.0,
E1,2017-08-15,Cardiff,Sheffield United,2,0,H,1.0,0.0,H,L Mason,19.0,13.0,6.0,4.0,11.0,8.0,7.0,6.0,2.0,1.0,0.0,0.0,
E1,2017-08-15,Derby,Preston,1,0,H,0.0,0.0,D,G Eltringham,15.0,9.0,5.0,4.0,14.0,15.0,4.0,4.0,2.0,3.0,0.0,0.0,
